index,status,final_accuracy,iterations_used,iteration_results,final_policy_file
0,failed,96.0,5,"[{'policy_idx': 0, 'iteration': 1, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_1.json'}, {'policy_idx': 0, 'iteration': 2, 'accuracy': 80.0, 'total_requests': 100, 'correct': 80, 'incorrect': 20, 'misclassified_allow_to_deny': 20, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_2.json'}, {'policy_idx': 0, 'iteration': 3, 'accuracy': 80.0, 'total_requests': 100, 'correct': 80, 'incorrect': 20, 'misclassified_allow_to_deny': 20, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_3.json'}, {'policy_idx': 0, 'iteration': 4, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_4.json'}, {'policy_idx': 0, 'iteration': 5, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_0_best.json
1,failed,96.0,5,"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_1.json'}, {'policy_idx': 1, 'iteration': 2, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_2.json'}, {'policy_idx': 1, 'iteration': 3, 'accuracy': 95.0, 'total_requests': 100, 'correct': 95, 'incorrect': 5, 'misclassified_allow_to_deny': 5, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_3.json'}, {'policy_idx': 1, 'iteration': 4, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_4.json'}, {'policy_idx': 1, 'iteration': 5, 'accuracy': 96.0, 'total_requests': 100, 'correct': 96, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_1_best.json
2,success,100.0,1,"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_2_final.json
3,failed,97.0,5,"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 97.0, 'total_requests': 100, 'correct': 97, 'incorrect': 3, 'misclassified_allow_to_deny': 3, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_1.json'}, {'policy_idx': 3, 'iteration': 2, 'accuracy': 97.0, 'total_requests': 100, 'correct': 97, 'incorrect': 3, 'misclassified_allow_to_deny': 3, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_2.json'}, {'policy_idx': 3, 'iteration': 3, 'accuracy': 97.0, 'total_requests': 100, 'correct': 97, 'incorrect': 3, 'misclassified_allow_to_deny': 3, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_3.json'}, {'policy_idx': 3, 'iteration': 4, 'accuracy': 97.0, 'total_requests': 100, 'correct': 97, 'incorrect': 3, 'misclassified_allow_to_deny': 3, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_4.json'}, {'policy_idx': 3, 'iteration': 5, 'accuracy': 97.0, 'total_requests': 100, 'correct': 97, 'incorrect': 3, 'misclassified_allow_to_deny': 3, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_3_best.json
4,success,100.0,1,"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_4_final.json
5,success,100.0,1,"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_5_final.json
6,success,100.0,1,"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_6_final.json
7,success,100.0,1,"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_7_final.json
8,success,100.0,1,"[{'policy_idx': 8, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_8_final.json
9,success,100.0,1,"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 100, 'correct': 100, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/repaired_9_final.json
