index,status,final_accuracy,iterations_used,iteration_accuracies,iteration_results,final_policy_file
0,success,100.0,2,"[50.0, 100.0]","[{'policy_idx': 0, 'iteration': 1, 'accuracy': 50.0, 'total_requests': 10, 'correct': 5, 'incorrect': 5, 'misclassified_allow_to_deny': 5, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 5, 'failed_examples': [{'request_id': 'allow_0110392c', 'action': 'glue:GetPartitions', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_0110392c', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_fd762a67', 'action': 'athena:BatchGetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_85dc8dad', 'action': 'glue:GetDatabase', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_85dc8dad', 'action': 'glue:GetDatabase', 'resource': 'arn:aws:s3:::athena-query-results/data/file.json', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_0_iter_1.json'}, {'policy_idx': 0, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_0_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_0_final.json
1,success,100.0,1,[100.0],"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_1_final.json
2,success,100.0,1,[100.0],"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_2_final.json
3,success,100.0,1,[100.0],"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_3_final.json
4,success,100.0,1,[100.0],"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_4_final.json
5,success,100.0,1,[100.0],"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_5_final.json
6,success,100.0,1,[100.0],"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_6_final.json
7,success,100.0,1,[100.0],"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_7_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_7_final.json
8,success,100.0,2,"[90.0, 100.0]","[{'policy_idx': 8, 'iteration': 1, 'accuracy': 90.0, 'total_requests': 10, 'correct': 9, 'incorrect': 1, 'misclassified_allow_to_deny': 1, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 1, 'failed_examples': [{'request_id': 'allow_b3ede597', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_8_iter_1.json'}, {'policy_idx': 8, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_8_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_8_final.json
9,success,100.0,1,[100.0],"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-10/repaired_9_final.json
